Partie_ID,Date,Phase,Tour,Contrat,Type_Contrat,Joueur,Score_Avant,Score_Après,Réussi,Nb,Gain,Classement_final,Cible,Ordre,verifdiv
2,2025-10-08,P1,1,Capital,Points,Remi,0,16,1,,16,2,2,2,0
2,2025-10-08,P1,1,Capital,Points,Béné,0,41,1,,41,3,2,3,0
2,2025-10-08,P1,1,Capital,Points,Hepa,0,22,1,,22,4,2,4,0
2,2025-10-08,P1,2,20,Nombre,Q2,80,140,1,3,60,1,2,1,0
2,2025-10-08,P1,2,20,Nombre,Remi,16,8,0,"-0,4",-8,2,2,2,1
2,2025-10-08,P1,2,20,Nombre,Béné,41,20,0,"-1,05",-21,3,2,3,1
2,2025-10-08,P1,2,20,Nombre,Hepa,22,11,0,"-0,55",-11,4,2,4,1
2,2025-10-08,P1,3,Suite,Spécial,Q2,140,70,0,,-70,1,2,1,1
2,2025-10-08,P1,3,Suite,Spécial,Remi,8,4,0,,-4,2,2,2,1
2,2025-10-08,P1,3,Suite,Spécial,Béné,20,10,0,,-10,3,2,3,1
2,2025-10-08,P1,3,Suite,Spécial,Hepa,11,5,0,,-6,4,2,4,1
2,2025-10-08,P1,4,19,Nombre,Q2,70,127,1,3,57,1,2,1,0
2,2025-10-08,P1,4,19,Nombre,Remi,4,2,0,"-0,1052631579",-2,2,2,2,1
2,2025-10-08,P1,4,19,Nombre,Béné,10,29,1,1,19,3,2,3,0
2,2025-10-08,P1,4,19,Nombre,Hepa,5,43,1,2,38,4,2,4,0
2,2025-10-08,P1,5,Côtés,Spécial,Q2,127,63,0,,-64,1,2,1,1
2,2025-10-08,P1,5,Côtés,Spécial,Remi,2,1,0,,-1,2,2,2,1
2,2025-10-08,P1,5,Côtés,Spécial,Béné,29,14,0,,-15,3,2,3,1
2,2025-10-08,P1,5,Côtés,Spécial,Hepa,43,21,0,,-22,4,2,4,1
2,2025-10-08,P1,6,18,Nombre,Q2,63,31,0,"-1,777777778",-32,1,2,1,1
2,2025-10-08,P1,6,18,Nombre,Remi,1,0,0,"-0,05555555556",-1,2,2,2,1
2,2025-10-08,P1,6,18,Nombre,Béné,14,32,1,1,18,3,2,3,0
2,2025-10-08,P1,6,18,Nombre,Hepa,21,10,0,"-0,6111111111",-11,4,2,4,1
2,2025-10-08,P1,7,Couleurs,Spécial,Q2,31,15,0,,-16,1,2,1,1
2,2025-10-08,P1,7,Couleurs,Spécial,Remi,0,0,0,,0,2,2,2,1
2,2025-10-08,P1,7,Couleurs,Spécial,Béné,32,16,0,,-16,3,2,3,1
2,2025-10-08,P1,7,Couleurs,Spécial,Hepa,10,5,0,,-5,4,2,4,1
2,2025-10-08,P1,8,17,Nombre,Q2,15,66,1,3,51,1,2,1,0
2,2025-10-08,P1,8,17,Nombre,Remi,0,0,0,0,0,2,2,2,1
2,2025-10-08,P1,8,17,Nombre,Béné,16,33,1,1,17,3,2,3,0
2,2025-10-08,P1,8,17,Nombre,Hepa,5,22,1,1,17,4,2,4,0
2,2025-10-08,P1,9,57 pts,Spécial,Q2,66,33,0,,-33,1,2,1,1
2,2025-10-08,P1,9,57 pts,Spécial,Remi,0,0,0,,0,2,2,2,1
2,2025-10-08,P1,9,57 pts,Spécial,Béné,33,16,0,,-17,3,2,3,1
2,2025-10-08,P1,9,57 pts,Spécial,Hepa,22,11,0,,-11,4,2,4,1
2,2025-10-08,P1,10,16,Nombre,Q2,33,65,1,2,32,1,2,1,0
2,2025-10-08,P1,10,16,Nombre,Remi,0,0,0,0,0,2,2,2,1
2,2025-10-08,P1,10,16,Nombre,Béné,16,8,0,"-0,5",-8,3,2,3,1
2,2025-10-08,P1,10,16,Nombre,Hepa,11,27,1,1,16,4,2,4,0
2,2025-10-08,P1,11,Peluche,Spécial,Q2,65,32,0,,-33,1,2,1,1
2,2025-10-08,P1,11,Peluche,Spécial,Remi,0,0,0,,0,2,2,2,1
2,2025-10-08,P1,11,Peluche,Spécial,Béné,8,4,0,,-4,3,2,3,1
2,2025-10-08,P1,11,Peluche,Spécial,Hepa,27,13,0,,-14,4,2,4,1
2,2025-10-08,P1,12,15,Nombre,Q2,32,77,1,3,45,1,2,1,0
2,2025-10-08,P1,12,15,Nombre,Remi,0,0,0,0,0,2,2,2,1
2,2025-10-08,P1,12,15,Nombre,Béné,4,19,1,1,15,3,2,3,0
2,2025-10-08,P1,12,15,Nombre,Hepa,13,58,1,3,45,4,2,4,0
2,2025-10-08,P1,13,Triple,Spécial,Q2,77,185,1,,108,1,2,1,0
2,2025-10-08,P1,13,Triple,Spécial,Remi,0,0,0,,0,2,2,2,1
2,2025-10-08,P1,13,Triple,Spécial,Béné,19,9,0,,-10,3,2,3,1
2,2025-10-08,P1,13,Triple,Spécial,Hepa,58,73,1,,15,4,2,4,0
2,2025-10-08,P1,14,14,Nombre,Q2,185,213,1,2,28,1,2,1,0
2,2025-10-08,P1,14,14,Nombre,Remi,0,42,1,3,42,2,2,2,0
2,2025-10-08,P1,14,14,Nombre,Béné,9,23,1,1,14,3,2,3,0
2,2025-10-08,P1,14,14,Nombre,Hepa,73,87,1,1,14,4,2,4,0
2,2025-10-08,P1,15,Double,Spécial,Q2,213,106,0,,-107,1,2,1,1
2,2025-10-08,P1,15,Double,Spécial,Remi,42,21,0,,-21,2,2,2,1
2,2025-10-08,P1,15,Double,Spécial,Béné,23,11,0,,-12,3,2,3,1
2,2025-10-08,P1,15,Double,Spécial,Hepa,87,43,0,,-44,4,2,4,1
2,2025-10-08,P1,16,13,Nombre,Q2,106,53,0,"-4,076923077",-53,1,2,1,1
2,2025-10-08,P1,16,13,Nombre,Remi,21,10,0,"-0,8461538462",-11,2,2,2,1
2,2025-10-08,P1,16,13,Nombre,Béné,11,24,1,1,13,3,2,3,0
2,2025-10-08,P1,16,13,Nombre,Hepa,43,21,0,"-1,692307692",-22,4,2,4,1
2,2025-10-08,P1,17,25,Spécial,Q2,53,78,1,1,25,1,2,1,0
2,2025-10-08,P1,17,25,Spécial,Remi,10,60,1,2,50,2,2,2,0
2,2025-10-08,P1,17,25,Spécial,Béné,24,12,0,"-0,48",-12,3,2,3,1
2,2025-10-08,P1,17,25,Spécial,Hepa,21,10,0,"-0,44",-11,4,2,4,1
3,2025-10-08,P1,1,Capital,Points,Stef,0,38,1,,38,3,3,1,0
3,2025-10-08,P1,1,Capital,Points,Albert,0,41,1,,41,1,3,2,0
3,2025-10-08,P1,1,Capital,Points,Matthieu,0,9,1,,9,4,3,3,0
3,2025-10-08,P1,1,Capital,Points,Lolo,0,41,1,,41,2,3,4,0
3,2025-10-08,P1,2,20,Nombre,Stef,38,78,1,2,40,3,3,1,0
3,2025-10-08,P1,2,20,Nombre,Albert,41,81,1,2,40,1,3,2,0
3,2025-10-08,P1,2,20,Nombre,Matthieu,9,109,1,5,100,4,3,3,0
3,2025-10-08,P1,2,20,Nombre,Lolo,41,141,1,5,100,2,3,4,0
3,2025-10-08,P1,3,Suite,Spécial,Stef,78,135,1,,57,3,3,1,0
3,2025-10-08,P1,3,Suite,Spécial,Albert,81,40,0,,-41,1,3,2,1
3,2025-10-08,P1,3,Suite,Spécial,Matthieu,109,54,0,,-55,4,3,3,1
3,2025-10-08,P1,3,Suite,Spécial,Lolo,141,70,0,,-71,2,3,4,1
3,2025-10-08,P1,4,19,Nombre,Stef,135,173,1,2,38,3,3,1,0
3,2025-10-08,P1,4,19,Nombre,Albert,40,154,1,6,114,1,3,2,0
3,2025-10-08,P1,4,19,Nombre,Matthieu,54,92,1,2,38,4,3,3,0
3,2025-10-08,P1,4,19,Nombre,Lolo,70,165,1,5,95,2,3,4,0
3,2025-10-08,P1,5,Côtés,Spécial,Stef,173,215,1,,42,3,3,1,0
3,2025-10-08,P1,5,Côtés,Spécial,Albert,154,77,0,,-77,1,3,2,1
3,2025-10-08,P1,5,Côtés,Spécial,Matthieu,92,46,0,,-46,4,3,3,1
3,2025-10-08,P1,5,Côtés,Spécial,Lolo,165,82,0,,-83,2,3,4,1
3,2025-10-08,P1,6,18,Nombre,Stef,215,269,1,3,54,3,3,1,0
3,2025-10-08,P1,6,18,Nombre,Albert,77,113,1,2,36,1,3,2,0
3,2025-10-08,P1,6,18,Nombre,Matthieu,46,82,1,2,36,4,3,3,0
3,2025-10-08,P1,6,18,Nombre,Lolo,82,154,1,4,72,2,3,4,0
3,2025-10-08,P1,7,Couleurs,Spécial,Stef,269,134,0,,-135,3,3,1,1
3,2025-10-08,P1,7,Couleurs,Spécial,Albert,113,162,1,,49,1,3,2,0
